,, ,,,,,,,,
MASTER SCHEDULE,,,,,,,,,,
UTAH FALL HIGH SCHOOL LEAGUE 2023,,,,,,,,,,
FINAL AS OF 9/5,,,,,,,,,,
,,,,,,,,,,
,,Women's Varsity,,Men's Varsity,,Men's Junior Varsity,Combined Girls,Combined Boys,,
,,Brighton,Murray,Bear River,Murray,Kearns,Bear River,Cache,,
,,Canyon View,Olympus,Brighton,Olympus,Murray,Cache,Hurricane,,
,,Cedar,Park City,Canyon View,Park City,Olympus,Hurricane,Kearns,,
,,Cyprus,Skyline,Cedar,Skyline,Skyline,Kearns,Murray,,
,,Kearns,Wasatch,Copper Hills,Springville,,Murray,South Davis,,
,,,,Cyprus,Wasatch,,South Davis,Springville,,
,,,,Kearns,Weber,,Springville,Weber,,
,,,,,,,,,,
,,,,,,,,,,
WEEK,League ID,DATE,DAY,LOCATION,TIME,GAME ID,HOME (DARK CAPS),AWAY (WHITE CAPS),DIVISION,RESULT
WEEK 1,1,August 26,SATURDAY,KOPFC WEST,8:00 AM,HSJVB GM8,Skyline,Kearns,JV Boys,4-9
WEEK 1,2,August 26,SATURDAY,KOPFC WEST,9:00 AM,HSB GM13,Kearns,Copper Hills,Varsity Boys,5-0
WEEK 1,3,August 26,SATURDAY,KOPFC WEST,10:00 AM,HSG GM31,Skyline,Brighton,Varsity Girls,5-0
WEEK 1,4,August 26,SATURDAY,KOPFC WEST,11:00 AM,HSCB GM25,South Davis,"Springville ""B""",Combined Boys,Canceled
WEEK 2,5,August 28,MONDAY,MURRAY,4:00 PM,HSG GM2,Murray,Hillcrest,Varsity Girls,Canceled
WEEK 2,6,August 28,MONDAY,MURRAY,5:00 PM,HSB GM37,Murray,Hillcrest,Varsity Boys,Canceled
WEEK 2,7,August 28,MONDAY,MURRAY,6:00 PM,HSCG GM5,Murray,South Davis,Combined Girls,7-10
WEEK 2,8,August 28,MONDAY,MURRAY,7:00 PM,HSCB GM4,Murray,South Davis,Combined Boys,10-14
WEEK 2,9,August 28,MONDAY,SKYLINE,6:30 PM,HSG GM30,Skyline,Cyprus,Varsity Girls,13-7
WEEK 2,10,August 28,MONDAY,SKYLINE,7:30 PM,HSB GM3,Skyline,Cyprus,Varsity Boys,19-5
WEEK 2,11,August 28,MONDAY,SKYLINE,8:30 PM,HSJVB GM9,Skyline,Olympus,JV Boys,6-15
WEEK 2,12,August 29,TUESDAY,OLYMPUS,6:45 PM,HSG GM27,Olympus,Wasatch,Varsity Girls,19-1
WEEK 2,13,August 29,TUESDAY,OLYMPUS,7:45 PM,HSB GM16,Olympus,Wasatch,Varsity Boys,22-1
WEEK 2,14,August 29,TUESDAY,OLYMPUS,8:45 PM,HSJVB GM4,Murray,Olympus,JV Boys,4-11
WEEK 2,15,August 30,WEDNESDAY,BRIGHTON,3:30 PM,HSG GM17,Cyprus,Brighton,Varsity Girls,15-2
WEEK 2,16,August 30,WEDNESDAY,BRIGHTON,4:25 PM,HSB GM19,Cyprus,Brighton,Varsity Boys,9-5
WEEK 2,17,August 30,WEDNESDAY,BRIGHTON,5:20 PM,HSCB GM23,South Davis,Weber,Combined Boys,15-0
WEEK 2,18,August 30,WEDNESDAY,BRIGHTON,6:15 PM,HSB GM24,Brighton,Weber,Varsity Boys,3-6
WEEK 2,19,August 31,THURSDAY,KOPFC,3:30 PM,HSCB GM21,Kearns,Springville,Combined Boys,14-11
WEEK 2,20,August 31,THURSDAY,KOPFC,4:30 PM,HSCG GM20,Kearns,Springville,Combined Girls,21-2
WEEK 2,21,August 31,THURSDAY,KOPFC,5:30 PM,HSCB GM7,Murray,"Springville ""B""",Combined Boys,Canceled
WEEK 2,22,August 31,THURSDAY,KOPFC,5:30 PM,HSCG GM6,Murray,Springville,Combined Girls,12-1
WEEK 2,23,August 31,THURSDAY,KOPFC,6:30 PM,HSB GM49,Springville,Murray,Varsity Boys,10-19
WEEK 2,24,September 1,FRIDAY,OLYMPUS,6:45 PM,HSB GM2,Skyline,Olympus,Varsity Boys,16-6
WEEK 2,25,September 1,FRIDAY,OLYMPUS,7:45 PM,HSG GM29,Skyline,Olympus,Varsity Girls,12-13
WEEK 2,26,September 1,FRIDAY,OLYMPUS,8:45 PM,HSB GM15,Olympus,Brighton,Varsity Boys,20-6
WEEK 2,27,September 2,SATURDAY,PARK CITY,10:00 AM,HSB GM51,Springville,Park City,Varsity Boys,9-16
WEEK 2,28,September 2,SATURDAY,PARK CITY,11:00 AM,HSG GM1,Murray,Park City,Varsity Girls,12-6
WEEK 2,29,September 2,SATURDAY,PARK CITY,12:00 PM,HSB GM29,Murray,Park City,Varsity Boys,9-12
WEEK 2,30,September 2,SATURDAY,PARK CITY,1:00 PM,HSG GM16,Park City,Wasatch,Varsity Girls,12-4
WEEK 2,31,September 2,SATURDAY,KOPFC EAST,8:00 AM,HSB GM12,Kearns,Weber,Varsity Boys,20-2
WEEK 2,32,September 2,SATURDAY,KOPFC EAST,9:05 AM,HSCB GM14,Cache,Kearns,Combined Boys,13-12
WEEK 2,33,September 2,SATURDAY,KOPFC EAST,10:10 AM,HSB GM47,Weber,Bear River,Varsity Boys,8-6
WEEK 2,34,September 2,SATURDAY,KOPFC EAST,11:15 AM,HSCB GM25,South Davis,Kearns,Combined Boys,12-10
WEEK 2,35,September 2,SATURDAY,KOPFC EAST,12:20 PM,HSCB GM16,Cache,Weber,Combined Boys,10-2
WEEK 2,36,September 2,SATURDAY,KOPFC EAST,1:25 PM,HSB GM52,Springville,Bear River,Varsity Boys,14-4
WEEK 2,37,September 2,SATURDAY,KOPFC WEST,8:00 AM,HSCG GM9,Cache,Kearns,Combined Girls,6.3-6.2
WEEK 2,38,September 2,SATURDAY,KOPFC WEST,9:05 AM,HSCG GM21,South Davis,Springville,Combined Girls,11-16
WEEK 2,39,September 2,SATURDAY,KOPFC WEST,10:10 AM,HSCG GM13,Bear River,Kearns,Combined Girls,4-22
WEEK 2,40,September 2,SATURDAY,KOPFC WEST,11:15 AM,HSG GM35,Kearns,Brighton,Varsity Girls,26-4
WEEK 2,41,September 2,SATURDAY,KOPFC WEST,12:20 PM,HSCG GM7,Cache,Bear River,Combined Girls,21-1
WEEK 2,42,September 2,SATURDAY,KOPFC WEST,1:25 PM,,,,,
WEEK 3,44,September 5,TUESDAY,OLYMPUS,6:45 PM,HSB GM43,Olympus,Park City,Varsity Boys,14-8
WEEK 3,45,September 5,TUESDAY,OLYMPUS,7:45 PM,HSG GM13,Park City,Olympus,Varsity Girls,2-15
WEEK 3,46,September 5,TUESDAY,OLYMPUS,8:45 PM,HSJVB GM7,Park City,Olympus,JV Boys,Canceled
WEEK 3,47,September 6,WEDNESDAY,KOPFC WEST,3:30 PM,HSG GM4,Murray,Kearns,Varsity Girls,5-10
WEEK 3,48,September 6,WEDNESDAY,KOPFC WEST,4:30 PM,HSB GM42,Kearns,Murray,Varsity Boys,15-12
WEEK 3,49,September 6,WEDNESDAY,KOPFC WEST,5:30 PM,HSCB GM3,Murray,Kearns,Combined Boys,3-8
WEEK 3,50,September 6,WEDNESDAY,KOPFC WEST,6:30 PM,HSCG GM4,Murray,Kearns,Combined Girls,4-5
WEEK 3,51,September 6,WEDNESDAY,KOPFC WEST,7:30 PM,HSJVB GM3,Murray,Kearns,JV Boys,8-9
WEEK 3,52,September 6,WEDNESDAY,BRIGHTON,3:30 PM,HSG GM23,Cyprus,Brighton,Varsity Girls,16-6
WEEK 3,53,September 6,WEDNESDAY,BRIGHTON,4:25 PM,HSB GM46,Wasatch,Cyprus,Varsity Boys,2-12
WEEK 3,54,September 6,WEDNESDAY,BRIGHTON,5:20 PM,HSG GM9,Brighton,Wasatch,Varsity Girls,4-8
WEEK 3,55,September 6,WEDNESDAY,BRIGHTON,6:15 PM,HSB GM23,Brighton,Wasatch,Varsity Boys,10-4
WEEK 3,56,September 8,FRIDAY,OLYMPUS,6:45 PM,HSB GM14,Olympus,Cyprus,Varsity Boys,18-9
WEEK 3,57,September 8,FRIDAY,OLYMPUS,7:45 PM,HSG GM25,Olympus,Cyprus,Varsity Girls,5-0
WEEK 3,58,September 8,FRIDAY,OLYMPUS,8:45 PM,HSJVB GM19,Skyline,Olympus,JV Boys,8-12
WEEK 3,59,September 8,FRIDAY,SKYLINE,6:45 PM,HSJVB GM12,Murray,Skyline,JV Boys,14-3
WEEK 3,60,September 8,FRIDAY,SKYLINE,7:45 PM,HSG GM3,Murray,Skyline,Varsity Girls,10-2
WEEK 3,61,September 8,FRIDAY,SKYLINE,8:45 PM,HSG GM26,Olympus,Brighton,Varsity Girls,W-L
WEEK 3,62,September 8,FRIDAY,KOPFC,3:30 PM,HSCG GM19,Kearns,South Davis,Combined Girls,14-11
WEEK 3,63,September 8,FRIDAY,KOPFC,4:30 PM,HSCB GM19,Kearns,South Davis,Combined Boys,8-12
WEEK 3,64,September 8,FRIDAY,KOPFC,5:30 PM,HSG GM36,Kearns,Wasatch,Varsity Girls,13-4
WEEK 3,65,September 8,FRIDAY,KOPFC,6:30 PM,HSB GM27,Wasatch,Copper Hills,Varsity Boys,5-0
WEEK 3,66,September 9,SATURDAY,PARK CITY,10:00 AM,HSB GM38,Park City,Bear River,Varsity Boys,18-3
WEEK 3,67,September 9,SATURDAY,PARK CITY,11:00 AM,HSCG GM15,Bear River,Springville,Combined Girls,6-15
WEEK 3,68,September 9,SATURDAY,PARK CITY,12:00 PM,HSB GM41,Skyline,Park City,Varsity Boys,13-10
WEEK 4,69,September 11,MONDAY,SKYLINE,7:45 PM,HSB GM5,Skyline,Wasatch,Varsity Boys,5-0
WEEK 4,70,September 11,MONDAY,SKYLINE,8:45 PM,HSG GM32,Skyline,Wasatch,Varsity Girls,13-2
WEEK 4,71,September 11,MONDAY,MURRAY,4:00 PM,HSCB GM6,Murray,Springville,Combined Boys,3-11
WEEK 4,72,September 11,MONDAY,MURRAY,5:00 PM,HSB GM21,Cyprus,Weber,Varsity Boys,14-11
WEEK 4,73,September 11,MONDAY,MURRAY,6:00 PM,HSG GM8,Murray,Wasatch,Varsity Girls,14-2
WEEK 4,74,September 11,MONDAY,MURRAY,7:00 PM,HSCB GM5,Murray,Weber,Combined Boys,8-11
WEEK 4,75,September 12,TUESDAY,OLYMPUS,6:45 PM,HSG GM33,Skyline,Park City,Varsity Girls,2-8
WEEK 4,76,September 12,TUESDAY,OLYMPUS,7:45 PM,HSB GM30,Olympus,Wasatch,Varsity Boys,5-0
WEEK 4,77,September 12,TUESDAY,OLYMPUS,8:45 PM,HSG GM14,Park City,Cyprus,Varsity Girls,5-8
WEEK 4,78,September 13,WEDNESDAY,BRIGHTON,3:30 PM,HSB GM6,Brighton,Murray,Varsity Girls,4-17
WEEK 4,79,September 13,WEDNESDAY,BRIGHTON,4:25 PM,HSB GM45,Brighton,Murray,Varsity Boys,1-16
WEEK 4,80,September 13,WEDNESDAY,BRIGHTON,5:20 PM,HSG GM6,Murray,Cyprus,Varsity Girls,14-2
WEEK 4,81,September 13,WEDNESDAY,BRIGHTON,6:15 PM,HSB GM44,Murray,Cyprus,Varsity Boys,12-6
WEEK 4,82,September 14,THURSDAY,KOPFC WEST,3:30 PM,HSB GM1,Skyline,Kearns,Varsity Boys,14-9
WEEK 4,83,September 14,THURSDAY,KOPFC WEST,4:30 PM,HSG GM28,Skyline,Kearns,Varsity Girls,10-14
WEEK 4,84,September 14,THURSDAY,KOPFC WEST,5:30 PM,HSCB GM26,Weber,Springville,Combined Boys,4-13
WEEK 4,85,September 14,THURSDAY,KOPFC WEST,6:30 PM,HSJVB GM20,Kearns,Skyline,JV Boys,15-10
WEEK 4,86,September 14,THURSDAY,KOPFC WEST,7:30 PM,HSCB GM20,Kearns,Weber,Combined Boys,19-6
WEEK 4,87,September 15,FRIDAY,KOPFC WEST,4:30 PM,HSB GM17,Olympus,Weber,Varsity Boys,5-0
WEEK 4,88,September 15,FRIDAY,KOPFC WEST,5:25 PM,HSB GM50,Springville,Wasatch,Varsity Boys,5-0
WEEK 4,89,September 15,FRIDAY,KOPFC WEST,6:20 PM,HSCG GM11,Cache,Springville,Combined Girls,15-2
WEEK 4,90,September 16,SATURDAY,PARK CITY,10:00 AM,HSCG GM12,Bear River,Springville,Combined Girls,L-W
WEEK 4,91,September 16,SATURDAY,PARK CITY,11:00 AM,HSB GM35,Murray,Park City,Varsity Boys,15-10
WEEK 4,92,September 16,SATURDAY,PARK CITY,12:00 PM,HSCG GM14,Bear River,South Davis,Combined Girls,L-W
WEEK 4,93,September 16,SATURDAY,PARK CITY,1:00 PM,HSCB GM15,Cache,South Davis,Combined Boys,Canceled
WEEK 4,94,September 16,SATURDAY,KOPFC EAST,4:00 PM,HSB GM48,Copper Hills,Bear River,Varsity Boys,14-13
WEEK 4,95,September 16,SATURDAY,KOPFC WEST,4:00 PM,HSCG GM1,Murray,Cache,Combined Girls,1-5
WEEK 4,96,September 16,SATURDAY,KOPFC WEST,5:00 PM,HSCB GM1,Murray,Cache,Combined Boys,8-4
WEEK 5,97,September 18,MONDAY,BRIGHTON,4:10 PM,HSB GM4,Skyline,Brighton,Varsity Boys,18-3
WEEK 5,98,September 18,MONDAY,BRIGHTON,5:05 PM,HSCB GM24,Springville,South Davis,Combined Boys,5-6
WEEK 5,99,September 18,MONDAY,BRIGHTON,6:00 PM,HSJVB GM15,Murray,Skyline,JV Boys,8-9
WEEK 5,100,September 19,TUESDAY,OLYMPUS,6:45 PM,HSG GM33,Kearns,Olympus,Varsity Girls,6-8
WEEK 5,101,September 19,TUESDAY,OLYMPUS,7:45 PM,HSB GM8,Kearns,Olympus,Varsity Boys,12-13
WEEK 5,102,September 19,TUESDAY,OLYMPUS,8:45 PM,HSJVB GM10,Kearns,Olympus,JV Boys,11-12
WEEK 5,103,September 20,WEDNESDAY,KOPFC WEST,3:30 PM,HSB GM9,Kearns,Cyprus,Varsity Boys,22-4
WEEK 5,104,September 20,WEDNESDAY,KOPFC WEST,4:30 PM,HSG GM34,Kearns,Cyprus,Varsity Girls,16-2
WEEK 5,105,September 20,WEDNESDAY,KOPFC WEST,5:30 PM,HSB GM22,Cyprus,Copper Hills,Varsity Boys,9-15
WEEK 5,106,September 20,WEDNESDAY,KOPFC WEST,6:30 PM,HSJVB GM13,Murray,Kearns,JV Boys,6-9
WEEK 5,107,September 20,WEDNESDAY,KOPFC WEST,7:30 PM,HSCG GM4,Murray,Kearns,Combined Girls,3-7
WEEK 5,108,September 20,WEDNESDAY,BRIGHTON,3:30 PM,HSCG GM10,Cache,South Davis,Combined Girls,L-W
WEEK 5,109,September 20,WEDNESDAY,BRIGHTON,4:25 PM,HSCB GM29,Weber,Cache,Combined Boys,10-9
WEEK 5,110,September 20,WEDNESDAY,BRIGHTON,5:20 PM,HSCG GM25,Cache,South Davis,Combined Girls,6-7
WEEK 5,111,September 20,WEDNESDAY,BRIGHTON,6:15 PM,HSCB GM17,Cache,Springville,Combined Boys,3-13
WEEK 6,112,September 25,MONDAY,BRIGHTON,4:10 PM,HSG GM12,Park City,Kearns,Varsity Girls,2-15
WEEK 6,113,September 25,MONDAY,BRIGHTON,5:05 PM,HSB GM10,Kearns,Brighton,Varsity Boys,23-2
WEEK 6,114,September 25,MONDAY,BRIGHTON,6:00 PM,HSG GM15,Brighton,Park City,Varsity Girls,2-6
WEEK 6,115,September 25,MONDAY,SKYLINE,6:45 PM,HSB GM6,Wasatch,Weber,Varsity Boys,
WEEK 6,116,September 25,MONDAY,SKYLINE,7:45 PM,HSG GM11,Skyline,Wasatch,Varsity Girls,15-4
WEEK 6,117,September 25,MONDAY,SKYLINE,8:45 PM,HSB GM6,Skyline,Weber,Varsity Boys,
WEEK 6,118,September 25,MONDAY,MURRAY,4:00 PM,HSCB GM2,Murray,Springville,Combined Boys,1-10
WEEK 6,119,September 25,MONDAY,MURRAY,5:00 PM,HSB GM32,Park City,Bear River,Varsity Boys,19-6
WEEK 6,120,September 25,MONDAY,MURRAY,6:00 PM,HSCG GM2,Murray,Bear River,Combined Girls,14-1
WEEK 6,121,September 25,MONDAY,MURRAY,7:00 PM,HSB GM30,Murray,Bear River,Varsity Boys,22-4
WEEK 6,122,September 26,TUESDAY,OLYMPUS,6:45 PM,HSJVB GM14,Murray,Olympus,JV Boys,
WEEK 6,123,September 26,TUESDAY,OLYMPUS,7:45 PM,HSG GM5,Murray,Olympus,Varsity Girls,5-7
WEEK 6,124,September 26,TUESDAY,OLYMPUS,8:45 PM,HSJVB GM16,Olympus,Kearns,JV Boys,11-9